iso3,country_name,year,risk_governance,risk_conflict,risk_economic,risk_democracy,risk_corruption,risk_social_unrest,risk_sanctions,risk_geopolitical,prism_score,control_of_corruption,govt_effectiveness,political_stability,regulatory_quality,rule_of_law,gdp_growth,inflation,unemployment,debt_to_gdp,cpi_score,v2x_polyarchy,v2x_libdem,conflict_events,total_fatalities,political_rights,civil_liberties
AFG,Afghanistan,2023,92.84,100.0,68.04,97.59,79.36,0.7,57.85,85.58,72.74,-1.1987543,-2.0924592,-2.3922828,-1.43056079999999,-1.89680499999999,2.26694373649188,-4.64470870797774,14.008,,16.0,0.073,0.015,0.0,0.0,7.0,7.0
AFG,Afghanistan,2024,90.58,100.0,80.82,97.37,81.28999999999999,0.85,56.78,85.25,74.12,-1.3087183,-1.9339966,-2.2052112,-1.538435,-1.93548869999999,,-6.60118564073725,13.687,,16.0,0.08,0.014,0.0,0.0,7.0,7.0
AGO,Angola,2019,63.25,99.87,63.85,73.22,65.38,37.53,60.93,61.23,65.66,-0.9647988,-0.911696499999999,-0.420703899999999,-0.9960854,-1.0519682,-0.204680245744115,17.080954143438,16.497,,32.0,0.347,0.162,11.0,26.0,6.0,5.0
AGO,Angola,2020,64.89,99.72,62.38,73.71000000000001,64.83,37.24,59.99,62.41,65.65,-0.891832299999999,-1.0163604,-0.6427634,-1.0388818,-0.9475038,-4.04244724639663,22.2715392470509,16.696,,32.0,0.336,0.16,26.0,29.0,6.0,5.0
AGO,Angola,2021,66.52000000000001,99.95,64.57,74.32,62.92,37.07,61.87,62.21,66.18,-0.6416506,-0.9347008,-0.7936068,-0.8486184,-1.0980135,2.10275251923413,25.754294884189,15.799,,32.0,0.325,0.151,4.0,13.0,6.0,5.0
AGO,Angola,2022,64.39,99.82,66.91,74.07,62.32,37.35,62.1,61.12,66.01,-0.6031537,-0.8325718,-0.5414068,-0.8618821,-1.1625439,4.21600258475137,21.3552901320822,14.124,,32.0,0.326,0.153,16.0,20.0,6.0,5.0
AGO,Angola,2023,62.91,100.0,66.67,72.86,62.48,37.17,62.29,60.98,65.67,-0.6242518,-0.8287026,-0.3131654,-0.904342,-1.1944432,1.26330814020108,13.6441017767714,14.051,,32.0,0.329,0.154,0.0,0.0,6.0,5.0
AGO,Angola,2024,64.33,100.0,66.65,72.11,62.95,38.02,62.52,60.65,65.9,-0.6225793,-0.785190899999999,-0.5735964,-0.773019999999999,-1.1697408,4.42390664406875,28.2404948915772,14.02,,32.0,0.342,0.161,0.0,0.0,6.0,5.0
AIA,Anguilla,2019,27.689999999999998,100.0,74.205,48.335,25.989999999999995,69.88,70.03,33.379999999999995,51.42,1.1784788,0.7699023,1.2261279,0.8762608,0.4193614,,,,,,,,0.0,0.0,,
AIA,Anguilla,2020,26.53,100.0,70.88,47.83,40.2,68.93,69.91,33.489999999999995,54.03,0.5557528,0.7650002,1.3857911,0.8710628,0.4217835,,,,,,,,0.0,0.0,,
AIA,Anguilla,2021,26.590000000000003,100.0,74.04499999999999,48.185,40.26,69.07,69.86,33.43000000000001,54.03,0.5531818,0.7679093,1.3836197,0.868972,0.4132015,,,,,,,,0.0,0.0,,
AIA,Anguilla,2022,24.069999999999993,100.0,74.005,50.21,26.03,69.47,69.74,25.83,49.13,1.1763452,1.1116761,1.3873573,0.8633998,0.4079249,,,,,,,,0.0,0.0,,
AIA,Anguilla,2023,22.370000000000005,100.0,74.3,49.965,26.099999999999994,68.48,69.75,25.790000000000006,48.8,1.1733125,1.1132177,1.387965,0.8639935,0.6332641,,,,,,,,0.0,0.0,,
AIA,Anguilla,2024,22.439999999999998,100.0,74.94,51.269999999999996,26.040000000000006,69.32,69.78,25.83,48.82,1.1762344,1.1115868,1.3802784,0.865338,0.6330323,,,,,,,,0.0,0.0,,
ALB,Albania,2019,47.51,100.0,68.1,48.68,70.22,75.21,70.71,59.26,67.46,-0.5384935,0.0266494,0.0043749999999999,0.0917374,-0.291428099999999,2.06257790176122,1.41109078954242,11.466,74.8082518103115,39.0,0.511,0.426,0.0,0.0,3.0,3.0
ALB,Albania,2020,47.38,100.0,65.81,47.58,71.14,75.06,68.35,58.69,66.75,-0.6594306,0.0187103,-0.0049854,-0.0195592999999999,-0.256738199999999,-3.31375636888916,1.6208866171702,11.639,83.4542023899143,39.0,0.528,0.442,0.0,0.0,3.0,3.0
ALB,Albania,2021,46.07,100.0,68.47,48.01,64.66,75.14,68.7,52.03,65.38,-0.60203,0.1116368,0.0239536,-0.0049463,-0.2015586,8.96957619074095,2.04147163139544,11.474,81.9202285507536,39.0,0.526,0.438,0.0,0.0,3.0,3.0
ALB,Albania,2022,45.03,100.0,70.99,48.62,61.8,75.03,72.65,49.68,65.47,-0.500456,0.1929668,0.0115425,0.0155769,-0.1309656,4.8268006234359,6.72520271530059,10.785,58.5241429999966,39.0,0.517,0.428,0.0,0.0,3.0,3.0
ALB,Albania,2023,44.36,100.0,71.72,50.35,65.59,74.71,74.09,53.45,66.78,-0.464044399999999,0.293429,0.0246567,0.0632513,-0.153011099999999,4.01541716935742,4.75834555150038,10.669,53.0292543715132,39.0,0.505,0.394,0.0,0.0,3.0,3.0
ALB,Albania,2024,44.0,100.0,72.22,50.29,65.25999999999999,74.68,75.32,53.12,66.86,-0.420760099999999,0.3123437,0.0204668,0.1357347,-0.1185025,4.04592845095348,2.21587375089991,10.689,49.9643490499689,39.0,0.51,0.398,0.0,0.0,3.0,3.0
AND,Andorra,2019,8.739999999999995,100.0,62.4,48.335,25.989999999999995,100.0,81.1,10.549999999999997,55.54,1.1784788,1.8025173,1.5488694,1.3498501,1.6176246,2.01554763848308,,,38.83800907991,,,,0.0,0.0,1.0,1.0
AND,Andorra,2020,8.769999999999996,100.0,53.75,47.83,25.959999999999994,100.0,74.77,10.659999999999997,53.42,1.1797991,1.7976151,1.5484064,1.1078572,1.6193172,-11.1839399355384,,,52.4833906656816,,,,0.0,0.0,1.0,1.0
AND,Andorra,2021,8.799999999999997,100.0,59.62,48.185,26.010000000000005,100.0,73.11,10.590000000000003,54.02,1.1772281,1.8005243,1.5465903,1.1057664,1.61332,8.28677879049404,,,58.756056270967,,,,0.0,0.0,1.0,1.0
AND,Andorra,2022,15.019999999999996,100.0,62.89,50.21,26.03,100.0,75.82,24.78,57.79,1.1763452,1.1591046,1.5497163,1.1001942,1.4108315,9.56461225648184,,,48.115804536322,,,,0.0,0.0,1.0,1.0
AND,Andorra,2023,15.019999999999996,100.0,61.64,49.965,26.099999999999994,100.0,77.27,24.75,57.83,1.1733125,1.1602754,1.5502246,1.100788,1.4100336,2.58355480961319,,,42.5637250641322,,,,0.0,0.0,1.0,1.0
AND,Andorra,2024,15.069999999999993,100.0,62.61,51.269999999999996,26.040000000000006,100.0,77.95,24.78,58.06,1.1762344,1.1590368,1.5437957,1.1021324,1.4099048,3.37182032638998,,,40.0274935542564,,,,0.0,0.0,1.0,1.0
ARE,United Arab Emirates,2019,25.939999999999998,100.0,78.32,75.95,25.299999999999997,18.45,87.2,44.2,56.92,1.0878297,1.3982083,0.8295526,1.1457173,0.4262682,1.27134240761141,-1.93108114782172,2.331,,69.0,0.102,0.09,0.0,0.0,7.0,6.0
ARE,United Arab Emirates,2020,29.08,100.0,73.97,75.75,25.5,18.45,86.3,47.11,57.02,1.0614313,1.0036502,0.826942,1.0663206,0.3974987,-8.69342617885171,-2.07940317940943,4.294,,69.0,0.102,0.09,0.0,0.0,7.0,6.0
ARE,United Arab Emirates,2021,28.909999999999997,100.0,78.33,76.05,25.700000000000003,17.08,86.05,46.66,57.35,1.0349829,1.0744083,0.839581,1.0613347,0.338504,4.55278571242283,0.179935336174431,3.105,,69.0,0.1,0.084,0.0,0.0,7.0,6.0
ARE,United Arab Emirates,2022,27.620000000000005,99.99,79.01,75.93,25.799999999999997,17.32,85.55,46.19,57.18,1.0223468,1.133184,0.883216,1.0576162,0.409903,7.51448425801082,5.29122604376849,2.872,,69.0,0.101,0.086,1.0,3.0,7.0,6.0
ARE,United Arab Emirates,2023,26.760000000000005,100.0,79.06,76.1,26.03,16.94,86.42,44.85,57.02,0.9918577,1.3100836,0.7829523,1.105352,0.4492886,4.30118228020602,1.62670837213248,2.151,,69.0,0.102,0.077,0.0,0.0,7.0,6.0
ARE,United Arab Emirates,2024,26.730000000000004,100.0,78.97,75.55,24.67,17.11,86.65,45.14,56.85,1.1702182,1.2599659,0.7886704,1.1257177,0.4968448,3.99180705485398,1.66336510224894,2.16,,69.0,0.104,0.077,0.0,0.0,7.0,6.0
ARG,Argentina,2019,45.73,100.0,67.35,18.590000000000003,53.88,85.68,64.01,33.480000000000004,58.59,-0.0847054,0.2629574,0.0571577,-0.449108299999999,-0.338125599999999,-2.00086100285785,53.5483043492339,9.843,,36.0,0.779,0.618,0.0,0.0,2.0,2.0
ARG,Argentina,2020,46.23,100.0,64.51,16.840000000000003,59.96,86.14,63.9,39.36,59.62,-0.1344697,0.148927,0.0552501,-0.5471843,-0.290549699999999,-9.9004848136464,42.0150947376509,11.461,,36.0,0.797,0.634,0.0,0.0,2.0,2.0
ARG,Argentina,2021,46.32,100.0,71.86,16.480000000000004,61.43,85.54,62.92,39.67,60.53,-0.3273298,0.1125651,0.0921998,-0.584024299999999,-0.303899,10.4418119882506,48.4093786255199,8.736,,36.0,0.796,0.639,0.0,0.0,2.0,2.0
ARG,Argentina,2022,46.51,100.0,71.09,14.209999999999994,61.53,85.61,60.86,38.41,59.78,-0.3402325,0.1085858,0.0576438,-0.5792423,-0.2913485,6.02074537534855,72.430757531824,6.805,,36.0,0.831,0.654,0.0,0.0,2.0,2.0
ARG,Argentina,2023,47.04,100.0,66.1,12.599999999999994,61.63,86.85,56.34,38.49,58.63,-0.354078399999999,0.0614731,-0.0207671,-0.5065132,-0.237773799999999,-1.85578803046339,133.488935594175,6.139,,36.0,0.838,0.695,0.0,0.0,2.0,2.0
ARG,Argentina,2024,47.34,100.0,60.25,23.040000000000006,53.15,85.19,51.87,33.650000000000006,56.81,-0.3257079,0.1837479,-0.169745999999999,-0.235025999999999,-0.2513801,-1.34293072157739,219.883929014578,7.15,,36.0,0.721,0.558,0.0,0.0,2.0,2.0
ARM,Armenia,2019,48.78,99.98,67.7,16.480000000000004,44.07,64.41,76.3,31.260000000000005,56.12,-0.0523489,-0.2531827,0.0683699,0.2583707,-0.247987899999999,7.59999999853918,1.44344660770698,18.304,50.0284206863703,46.0,0.796,0.62,2.0,2.0,4.0,4.0
ARM,Armenia,2020,50.78,99.91,63.2,19.459999999999994,44.54,64.41,73.6,34.11,56.25,0.1056079,-0.3375702,-0.2935835,0.2080999,-0.0751786,-7.19999999920631,1.21143577838464,18.175,63.4012140067668,46.0,0.781,0.576,8.0,10.0,4.0,4.0
ARM,Armenia,2021,52.66,99.91,67.74,26.17,46.32,63.74,73.74,37.75,58.5,0.0558398,-0.3553578,-0.5019,0.1972098,-0.1028405,5.80000000065645,7.1848362944337,15.469,60.080359768226,46.0,0.724,0.532,8.0,10.0,4.0,4.0
ARM,Armenia,2022,52.41,99.84,72.14,37.1,46.31,63.74,75.1,40.15,60.85,0.0574942,-0.3306901,-0.3556235,0.0783259999999999,-0.2386468,12.5999999997766,8.64091108973854,13.451,46.5518225541677,46.0,0.654,0.448,8.0,154.0,4.0,4.0
ARM,Armenia,2023,52.06,100.0,72.12,38.32,46.5,62.09,75.37,40.31,60.85,0.1046118,-0.163441,-0.5022441,0.0964411,-0.2107914,8.29999999959539,1.98041877615553,12.405,48.0562986764141,46.0,0.631,0.421,0.0,0.0,4.0,4.0
ARM,Armenia,2024,54.66,100.0,71.76,38.89,46.19,61.66,75.82,42.01,61.37,0.1446809,-0.3640294,-0.723297299999999,0.137992,-0.1423943,5.90000000046228,0.269511978259125,12.405,47.8813384886388,46.0,0.625,0.412,0.0,0.0,4.0,4.0
ASM,American Samoa,2019,20.409999999999997,100.0,41.57,48.335,11.739999999999995,69.88,48.28,33.379999999999995,42.56,1.8025255,0.7699023,1.2471192,-0.0709177,1.3724833,-0.487804878048777,,,,,,,0.0,0.0,,
ASM,American Samoa,2020,21.730000000000004,100.0,45.34,47.83,25.959999999999994,68.93,59.03,33.489999999999995,47.59,1.1797991,0.7650002,1.2465402,0.3974735,1.2020006,4.41176470588236,,,,,,,0.0,0.0,,
ASM,American Samoa,2021,21.769999999999996,100.0,41.34,48.185,26.010000000000005,69.07,58.99,33.43000000000001,46.92,1.1772281,0.7679093,1.2442687,0.3953827,1.1954792,-0.782472613458523,,,,,,,0.0,0.0,,
ASM,American Samoa,2022,21.78,100.0,43.28,50.21,26.03,69.47,58.86,33.44,47.23,1.1763452,0.7674713,1.2481785,0.3898105,1.1914695,1.73501577287065,,,,,,,0.0,0.0,,
ASM,American Samoa,2023,21.769999999999996,100.0,74.3,49.965,26.099999999999994,68.48,58.87,33.400000000000006,48.03,1.1733125,0.7690129,1.2488142,0.3904042,1.1903787,,,,,,,,0.0,0.0,,
ASM,American Samoa,2024,22.53,100.0,74.94,51.269999999999996,26.040000000000006,69.32,58.9,33.44,48.18,1.1762344,0.767382,1.2530285,0.3917487,1.0865813,,,,,,,,0.0,0.0,,
ATG,Antigua and Barbuda,2019,36.32,100.0,70.99,48.335,47.87,83.33,80.39,56.22,67.87,0.2193663,-0.262712599999999,0.9169085,0.5787682,0.5895105,3.1722219373937,1.43135598182983,,,,,,0.0,0.0,2.0,2.0
ATG,Antigua and Barbuda,2020,38.89,100.0,62.56,47.83,47.86,83.33,80.43,63.94,68.14,0.2199155,-0.6118196,0.9164728,0.576116,0.5899858,-18.8687765208148,0.625989707046719,,,,,,0.0,0.0,2.0,2.0
ATG,Antigua and Barbuda,2021,39.06,100.0,72.86,48.185,48.74,83.33,80.17,63.87,69.72,0.181489,-0.6089105,0.9147636,0.5644068,0.5666971,8.17286311186622,2.06299638545334,,,,,,0.0,0.0,2.0,2.0
ATG,Antigua and Barbuda,2022,33.64,100.0,72.74,50.21,47.47,83.33,78.55,52.46,66.88,0.2369304,-0.0927924,1.0787211,0.4644715,0.6200291,9.10780623385958,7.53107834634288,,,,,,0.0,0.0,2.0,2.0
ATG,Antigua and Barbuda,2023,29.790000000000006,100.0,70.38,49.965,46.75,83.33,80.57,40.87,64.53,0.2686527,0.4312085,1.0791994,0.6218901,0.6185054,2.42736300110336,5.06713865364212,,,,,,0.0,0.0,2.0,2.0
ATG,Antigua and Barbuda,2024,29.959999999999994,100.0,70.76,51.269999999999996,46.39,83.33,80.62,40.9,64.57,0.2843876,0.4299698,1.0731489,0.6346032,0.6017732,3.65638765956977,6.19886698842115,,,,,,0.0,0.0,2.0,2.0
AUS,Australia,2019,14.819999999999993,100.0,74.4,8.11,10.920000000000002,98.56,86.72,9.379999999999995,50.36,1.7864413,1.6666492,0.8454141,1.8466041,1.6342612,2.19401703622717,1.610770929127,5.143,59.9837867004913,76.0,0.825,0.779,0.0,0.0,1.0,1.0
AUS,Australia,2020,15.579999999999998,100.0,71.94,7.730000000000004,12.310000000000002,97.96,84.58,9.39,49.94,1.6038237,1.6054566,0.8859397,1.7684279,1.5521387,-0.133531904304775,0.846900734607273,6.394,69.0656538994855,76.0,0.837,0.79,0.0,0.0,1.0,1.0
AUS,Australia,2021,14.969999999999999,100.0,73.11,8.480000000000004,11.75,97.74,84.46,9.010000000000005,49.94,1.6770561,1.7024874,0.8536507,1.7860103,1.5701838,2.00694844335034,2.86391284709318,5.022,69.836773674895,76.0,0.828,0.779,0.0,0.0,1.0,1.0
AUS,Australia,2022,14.870000000000005,100.0,75.82,6.829999999999998,11.36,98.41,86.43,7.859999999999999,50.2,1.7288156,1.7675146,0.9015353,1.8002733,1.471946,4.25304559238732,6.59409658717841,3.728,57.8834285733848,76.0,0.846,0.794,0.0,0.0,1.0,1.0
AUS,Australia,2023,14.36,100.0,77.25,6.140000000000001,10.090000000000003,98.48,94.2,6.890000000000001,50.93,1.8057703,1.7818134,0.9254365,1.8131125,1.5031839,3.58382100798981,5.59701792296707,3.668,,76.0,0.851,0.802,0.0,0.0,1.0,1.0
AUS,Australia,2024,15.379999999999995,100.0,76.57,6.480000000000004,9.739999999999995,98.38,93.37,6.799999999999997,50.84,1.8520196,1.8090452,0.7932693,1.7223205,1.4704014,1.37340773365975,3.16656665428797,3.942,,76.0,0.848,0.796,0.0,0.0,1.0,1.0
AUT,Austria,2019,13.299999999999997,100.0,76.2,6.969999999999999,16.260000000000005,98.52,91.64,8.439999999999998,51.42,1.607711,1.7527565,0.7878108,1.5588698,1.8098146,1.75497619649288,1.53089564152643,4.56,,69.0,0.862,0.793,0.0,0.0,1.0,1.0
AUT,Austria,2020,12.39,99.99,73.55,7.519999999999996,16.269999999999996,98.59,90.68,7.439999999999998,50.8,1.6059221,1.9079985,0.8186312,1.4737069,1.7481079,-6.31825509209936,1.38191063351853,5.201,,69.0,0.858,0.786,1.0,4.0,1.0,1.0
AUT,Austria,2021,13.769999999999996,100.0,75.2,7.739999999999995,21.689999999999998,98.66,90.26,11.819999999999993,52.39,1.3601171,1.8163061,0.7543747,1.4481822,1.7167011,4.92309171717903,2.7666666666667,6.459,,69.0,0.854,0.784,0.0,0.0,1.0,1.0
AUT,Austria,2022,16.049999999999997,100.0,76.31,9.049999999999997,21.569999999999993,98.34,89.21,12.810000000000002,52.92,1.3678343,1.7373291,0.6005165,1.4011869,1.6419642,5.33096379400371,8.54686993188457,4.992,,69.0,0.841,0.762,0.0,0.0,1.0,1.0
AUT,Austria,2023,16.349999999999994,100.0,74.54,8.299999999999997,21.549999999999997,98.63,89.4,13.349999999999994,52.76,1.3200882,1.5790569,0.7016405,1.4120974,1.6577235,-0.786244288594673,7.81413417002831,5.264,,69.0,0.848,0.775,0.0,0.0,1.0,1.0
AUT,Austria,2024,18.230000000000004,100.0,74.91,9.189999999999998,23.010000000000005,98.1,89.13,15.379999999999995,53.49,1.2944469,1.5145106,0.4915979,1.3510615,1.6777399,-0.659089573171372,2.93791574279375,5.2,,69.0,0.84,0.762,0.0,0.0,1.0,1.0
AZE,Azerbaijan,2019,53.49,99.89,75.92,88.81,77.77,19.54,72.44,73.68,70.19,-0.7550887,-0.0555998,-0.3373117,-0.1045151,-0.6725504,2.47980879185565,2.61057182799215,5.0,,30.0,0.195,0.063,10.0,9.0,7.0,6.0
AZE,Azerbaijan,2020,54.36,94.83,72.14,88.43,78.76,19.19,72.42,74.68,69.35,-0.7598072,-0.0570332999999999,-0.5087721,-0.1055885,-0.6182094,-4.19896065333343,2.75980947008127,7.24,,30.0,0.194,0.064,141.0,7636.0,7.0,6.0
AZE,Azerbaijan,2021,54.14,99.8,75.54,88.43,78.88,19.44,72.61,74.72,70.44,-0.775813299999999,-0.0569922999999999,-0.4888287,-0.0594814,-0.608585199999999,5.61644027150554,6.65029912708778,6.04,,30.0,0.193,0.066,18.0,30.0,7.0,6.0
AZE,Azerbaijan,2022,54.07,99.83,75.24,88.88,78.34,11.63,71.96,74.03999999999999,69.25,-0.8302212,-0.0543532,-0.542048099999999,-0.0606320999999999,-0.5484749,4.71468033247649,13.8522590144267,5.65,,30.0,0.185,0.062,9.0,154.0,7.0,7.0
AZE,Azerbaijan,2023,51.9,100.0,74.68,88.77,78.73,11.98,73.6,73.16,69.1,-0.881959199999999,0.0656316,-0.4004143,0.0432245,-0.5160585,1.35447749115767,8.7854304984908,5.64,,30.0,0.185,0.062,0.0,0.0,7.0,7.0
AZE,Azerbaijan,2024,49.0,100.0,75.76,89.14,77.92,10.01,75.23,72.82,68.74,-0.775077799999999,0.1661183,-0.1404058,0.1348932,-0.4853711,4.07140205008956,2.21217188919901,5.648,,30.0,0.174,0.053,0.0,0.0,7.0,7.0
BDI,Burundi,2019,75.03999999999999,99.45,80.25,91.94,90.17,9.78,63.3,83.34,74.16,-1.4706435,-0.9766193,-1.66929629999999,-0.926177799999999,-1.3300858,4.45934202358784,-0.686772170797358,1.043,,17.0,0.159,0.055,50.0,75.0,7.0,6.0
BDI,Burundi,2020,74.55,99.12,78.73,90.92,86.71000000000001,10.81,61.55,81.3,72.96,-1.3529714,-1.0934389,-1.49526809999999,-1.0171598,-1.32121199999999,0.306443809481593,7.3211064341552,1.03,,17.0,0.168,0.049,78.0,145.0,7.0,6.0
BDI,Burundi,2021,73.84,99.44,79.33,89.14,77.6,12.18,61.65,71.66,70.6,-1.390618,-1.1242343,-1.37835589999999,-1.00004119999999,-1.3122824,3.23707479823578,8.4045384507634,1.118,,17.0,0.181,0.067,50.0,81.0,7.0,6.0
BDI,Burundi,2022,73.61,99.56,78.68,88.47,76.82,14.51,61.65,71.51,70.6,-1.3235206,-1.1809945,-1.28089529999999,-0.9203619,-1.32171369999999,2.31770122223331,18.8008786664944,0.909,,17.0,0.189,0.077,41.0,38.0,7.0,6.0
BDI,Burundi,2023,73.0,100.0,78.44,89.37,80.47,13.66,61.37,74.98,71.41,-1.29205449999999,-1.108269,-1.2840156,-0.882728,-1.30785589999999,3.254768974261,26.9414835762453,0.911,,17.0,0.186,0.056,0.0,0.0,7.0,6.0
BDI,Burundi,2024,72.89,100.0,79.05,89.53999999999999,82.8,13.77,62.75,75.53999999999999,72.04,-1.46248849999999,-1.0060869,-1.3763566,-0.8138576,-1.3028277,4.11227376264944,20.2124925027847,0.915,,17.0,0.178,0.062,0.0,0.0,7.0,6.0
BEL,Belgium,2019,23.680000000000007,100.0,75.65,2.5600000000000023,15.25,99.89,88.55,9.819999999999993,51.92,1.4973857,1.1205719,0.3774033,1.2890183,1.4493311,2.4428900448156,1.43681956996438,5.364,,69.0,0.901,0.837,0.0,0.0,1.0,1.0
BEL,Belgium,2020,23.36,100.0,73.66,3.0900000000000034,14.730000000000004,99.58,89.01,9.599999999999994,51.63,1.5662608,1.1695968,0.3686413,1.3238216,1.4533249,-4.7929839083518,0.740791812220343,5.545,,69.0,0.897,0.826,0.0,0.0,1.0,1.0
BEL,Belgium,2021,22.599999999999994,100.0,75.76,3.019999999999996,14.849999999999994,99.65,89.68,9.170000000000002,51.84,1.5502151,1.2282716,0.461917,1.3954035,1.4052126,6.25445686466593,2.44024851144084,6.248,,69.0,0.897,0.827,0.0,0.0,1.0,1.0
BEL,Belgium,2022,24.069999999999993,100.0,75.37,3.0,14.64,99.72,89.2,8.64,51.83,1.5774306,1.3103839,0.2465264,1.4079657,1.3398087,3.9562379757933,9.597511728725,5.57,,69.0,0.895,0.833,0.0,0.0,1.0,1.0
BEL,Belgium,2023,26.0,100.0,75.14,3.799999999999997,15.480000000000004,99.72,88.35,9.709999999999994,52.28,1.467016,1.1646047,0.1994126,1.2914096,1.2719977,1.71412195515242,4.04901077613941,5.547,,69.0,0.895,0.812,0.0,0.0,1.0,1.0
BEL,Belgium,2024,26.269999999999996,100.0,74.89,4.019999999999996,15.469999999999999,99.68,87.88,9.64,52.23,1.4687812,1.1947395,0.1214526,1.2435483,1.282799,1.07045413019414,3.14349136500041,5.7,,69.0,0.891,0.81,0.0,0.0,1.0,1.0
BEN,Benin,2019,52.29,99.99,80.63,53.35,43.39,84.41,68.18,41.88,65.52,-0.2398967,-0.3133743,-0.197976799999999,-0.4897407,-0.395343799999999,6.86568662848335,0.732849371241066,1.214,,45.0,0.452,0.335,1.0,1.0,2.0,2.0
BEN,Benin,2020,51.99,99.99,79.44,59.99,39.81,72.53,68.6,40.57,64.11,-0.0352655,-0.1887935,-0.283192699999999,-0.436359599999999,-0.393457699999999,3.84879240030133,3.02272119663759,1.518,,45.0,0.408,0.284,1.0,1.0,4.0,2.0
BEN,Benin,2021,52.97,99.93,80.08,61.18,40.32,72.28,69.36,40.85,64.62,-0.1642663,-0.2018892,-0.4106645,-0.3792796,-0.3852134,7.1554516457574,1.73353962694035,1.833,,45.0,0.39,0.271,6.0,11.0,4.0,2.0
BEN,Benin,2022,53.88,99.9,80.0,59.29,39.91,61.84,70.47,39.73,63.13,-0.1108108,-0.214913499999999,-0.4373008,-0.2859729,-0.468466,6.25294705373625,1.35077863583527,1.685,,45.0,0.423,0.285,8.0,30.0,5.0,3.0
BEN,Benin,2023,52.37,100.0,79.99,49.69,40.58,61.66,70.92,38.1,61.66,-0.1047671,-0.216367999999999,-0.3096247,-0.2359682,-0.390917399999999,6.3527773854442,2.73870078406074,1.641,,45.0,0.487,0.313,0.0,0.0,5.0,3.0
BEN,Benin,2024,52.99,100.0,80.37,48.68,41.55,67.57,70.59,37.65,62.42,-0.2407154,-0.1854211,-0.4030099,-0.277262399999999,-0.4124793,7.45311566226201,1.16093089640415,1.637,,45.0,0.491,0.323,0.0,0.0,4.0,3.0
BFA,Burkina Faso,2019,62.08,97.09,77.46,34.69,55.11,67.29,71.53,46.57,63.98,-0.2008751,-0.627609,-1.19570659999999,-0.4675262,-0.408522599999999,5.88920497068135,-3.23338933983321,4.493,47.0623633717549,40.0,0.657,0.477,222.0,1246.0,4.0,3.0
